date,ncsoft,nc_stock,linege,nc,stock_price
2021-03-28,7,3,39,7,834000
2021-04-04,4,1,35,5,885000
2021-04-11,4,1,31,6,906000
2021-04-18,4,1,32,5,894000
2021-04-25,4,1,27,5,861000
2021-05-02,4,0,27,4,820000
2021-05-09,3,1,26,4,850000
2021-05-16,4,1,29,6,823000
2021-05-23,3,1,26,5,856000
2021-05-30,3,1,29,4,854000
2021-06-06,3,1,30,4,858000
2021-06-13,3,1,31,4,848000
2021-06-20,3,1,37,4,825000
2021-06-27,3,1,33,4,820000
2021-07-04,3,0,41,5,834000
2021-07-11,4,1,29,8,778000
2021-07-18,3,1,27,4,809000
2021-07-25,3,0,25,4,809000
2021-08-01,3,1,24,5,812000
2021-08-08,3,1,31,3,790000
2021-08-15,4,1,34,4,853000
2021-08-22,16,8,38,16,709000
2021-08-29,21,12,34,21,633000
2021-09-05,14,8,29,15,611000
2021-09-12,17,9,31,17,589000
2021-09-19,9,5,31,10,571000
2021-09-26,11,7,31,13,571000
2021-10-03,12,7,33,11,560000
2021-10-10,7,4,29,8,582000
2021-10-17,6,3,30,6,619000
2021-10-24,5,3,33,7,621000
2021-10-31,19,10,100,18,595000
2021-11-07,18,8,77,20,786000
2021-11-14,12,7,70,13,760000
2021-11-21,7,4,61,8,700000
2021-11-28,6,3,51,7,690000
2021-12-05,4,3,47,6,737000
2021-12-12,4,2,38,6,680000
2021-12-19,4,2,47,7,656000
2021-12-26,3,1,44,5,643000
2022-01-02,5,2,40,7,606000
2022-01-09,4,2,39,6,583000
2022-01-16,4,2,32,6,565000
2022-01-23,5,3,35,6,567000
2022-01-30,4,2,33,4,536000
2022-02-06,5,2,34,6,540000
2022-02-13,7,3,35,8,510000
2022-02-20,7,3,33,10,492500
2022-02-27,5,3,31,7,463500
2022-03-06,4,2,34,5,459500
2022-03-13,5,3,31,6,452000
